x,rho,P,u,e
0.5,0.125,0.1,0,2
0.49749373433584,0.125,0.1,0,2
0.494987468671679,0.125,0.1,0,2
0.492481203007519,0.125,0.1,0,2
0.489974937343358,0.125,0.1,0,2
0.487468671679198,0.125,0.1,0,2
0.484962406015038,0.125,0.1,0,2
0.482456140350877,0.125,0.1,0,2
0.479949874686717,0.125,0.1,0,2
0.477443609022556,0.125,0.1,0,2
0.474937343358396,0.125,0.1,0,2
0.472431077694236,0.125,0.1,0,2
0.469924812030075,0.125,0.1,0,2
0.467418546365915,0.125,0.1,0,2
0.464912280701754,0.125,0.1,0,2
0.462406015037594,0.125,0.1,0,2
0.459899749373434,0.125,0.1,0,2
0.457393483709273,0.125,0.1,0,2
0.454887218045113,0.125,0.1,0,2
0.452380952380952,0.125,0.1,0,2
0.449874686716792,0.125,0.1,0,2
0.447368421052632,0.125,0.1,0,2
0.444862155388471,0.125,0.1,0,2
0.442355889724311,0.125,0.1,0,2
0.43984962406015,0.125,0.1,0,2
0.43734335839599,0.125,0.1,0,2
0.43483709273183,0.125,0.1,0,2
0.432330827067669,0.125,0.1,0,2
0.429824561403509,0.125,0.1,0,2
0.427318295739348,0.125,0.1,0,2
0.424812030075188,0.125,0.1,0,2
0.422305764411028,0.125,0.1,0,2
0.419799498746867,0.125,0.1,0,2
0.417293233082707,0.125,0.1,0,2
0.414786967418546,0.125,0.1,0,2
0.412280701754386,0.125,0.1,0,2
0.409774436090226,0.125,0.1,0,2
0.407268170426065,0.125,0.1,0,2
0.404761904761905,0.125,0.1,0,2
0.402255639097744,0.125,0.1,0,2
0.399749373433584,0.125,0.1,0,2
0.397243107769424,0.125,0.1,0,2
0.394736842105263,0.125,0.1,0,2
0.392230576441103,0.125,0.1,0,2
0.389724310776942,0.125,0.1,0,2
0.387218045112782,0.125,0.1,0,2
0.384711779448622,0.125,0.1,0,2
0.382205513784461,0.125,0.1,0,2
0.379699248120301,0.125,0.1,0,2
0.37719298245614,0.125,0.1,0,2
0.37468671679198,0.125,0.1,0,2
0.37218045112782,0.125,0.1,0,2
0.369674185463659,0.125,0.1,0,2
0.367167919799499,0.125,0.1,0,2
0.364661654135338,0.125,0.1,0,2
0.362155388471178,0.125,0.1,0,2
0.359649122807018,0.125,0.1,0,2
0.357142857142857,0.125,0.1,0,2
0.354636591478697,0.125,0.1,0,2
0.352130325814536,0.125,0.1,0,2
0.349624060150376,0.125,0.1,0,2
0.347117794486216,0.125,0.1,0,2
0.344611528822055,0.125,0.1,0,2
0.342105263157895,0.125,0.1,0,2
0.339598997493734,0.125,0.1,0,2
0.337092731829574,0.125,0.1,0,2
0.334586466165414,0.125,0.1,0,2
0.332080200501253,0.125,0.1,0,2
0.329573934837093,0.125,0.1,0,2
0.327067669172932,0.125,0.1,0,2
0.324561403508772,0.125,0.1,0,2
0.322055137844612,0.125,0.1,0,2
0.319548872180451,0.125,0.1,0,2
0.317042606516291,0.125,0.1,0,2
0.31453634085213,0.125,0.1,0,2
0.31203007518797,0.125,0.1,0,2
0.30952380952381,0.125,0.1,0,2
0.307017543859649,0.125,0.1,0,2
0.304511278195489,0.125,0.1,0,2
0.302005012531328,0.125,0.1,0,2
0.299498746867168,0.125,0.1,0,2
0.296992481203008,0.125,0.1,0,2
0.294486215538847,0.125,0.1,0,2
0.291979949874687,0.125,0.1,0,2
0.289473684210526,0.125,0.1,0,2
0.286967418546366,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.284461152882206,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.281954887218045,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.279448621553885,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.276942355889724,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.274436090225564,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.271929824561404,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.269423558897243,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.266917293233083,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.264411027568922,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.261904761904762,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.259398496240602,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.256892230576441,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.254385964912281,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.25187969924812,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.24937343358396,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.2468671679198,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.244360902255639,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.241854636591479,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.239348370927318,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.236842105263158,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.234335839598998,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.231829573934837,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.229323308270677,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.226817042606516,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.224310776942356,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.221804511278196,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.219298245614035,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.216791979949875,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.214285714285714,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.211779448621554,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.209273182957393,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.206766917293233,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.204260651629073,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.201754385964912,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.199248120300752,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.196741854636591,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.194235588972431,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.191729323308271,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.18922305764411,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.18671679197995,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.184210526315789,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.181704260651629,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.179197994987469,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.176691729323308,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.174185463659148,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.171679197994987,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.169172932330827,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.166666666666667,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
0.164160401002506,0.265573711572884,0.303130177803767,0.92745262004895,2.8535408870898
